gbifid	kingdom	family	scientificname	countrycode	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	eventdate	day	month	year
1579761910	Plantae	Sapindaceae	Acer hyrcanum Fisch. & C. A. Mey.	HR	45.078732	14.1364	250	2017-05-24T02:00Z	24	5	2017
1579760519	Plantae	Sapindaceae	Acer hyrcanum Fisch. & C. A. Mey.	HR	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1579762415	Plantae	Sapindaceae	Acer monspessulanum L.	HR	45.066006	14.140863	250	2017-05-17T02:00Z	17	5	2017
1579757822	Animalia	Acrocephalidae	Acrocephalus scirpaceus (Hermann, 1804)	HR	44.361046	15.151219	250	2017-05-30T02:00Z	30	5	2017
1579837416	Animalia	Ardeidae	Ardeola ralloides (Scopoli, 1769)	HR	44.361046	15.151219	250	2017-05-30T02:00Z	30	5	2017
1586071334	Animalia	Nymphalidae	Argynnis paphia Linnaeus, 1758	HR	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1579871442	Animalia	Nymphalidae	Brenthis daphne Denis & Schiffermüller, 1775	HR	45.460732	14.830427	250	2017-06-10T02:00Z	10	6	2017
1579871441	Animalia	Nymphalidae	Brenthis daphne Denis & Schiffermüller, 1775	HR	45.443451	15.005221	250	2017-06-09T02:00Z	9	6	2017
1586123794	Plantae	Cannabaceae	Celtis australis L.	HR	45.268687	13.660628	4	2017-08-02T17:54Z	2	8	2017
1579917401	Plantae	Cannabaceae	Celtis australis L.	HR	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1579925521	Animalia	Charadriidae	Charadrius hiaticula Linnaeus, 1758	HR	44.412693	15.089207	250	2017-05-29T02:00Z	29	5	2017
1579922105	Animalia	Charadriidae	Charadrius hiaticula Linnaeus, 1758	HR	44.514317	14.917942	250	2017-05-29T02:00Z	29	5	2017
1579940193	Animalia	Cerambycidae	Clytus arietis (Linné, 1758)	HR	45.066006	14.140863	250	2017-05-17T02:00Z	17	5	2017
1572400713	Animalia	Chrysomelidae	Donacia versicolorea (Brahms, 1790) Brahms, 1790	HR	44.179722	15.8175		2017-07-05T14:01Z	5	7	2017
1585331806	Animalia	Noctuidae	Euclidia glyphica Linnaeus, 1758	HR	45.078732	14.1364	250	2017-05-24T02:00Z	24	5	2017
1585331369	Animalia	Noctuidae	Euclidia glyphica Linnaeus, 1758	HR	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1621778393	Plantae	Asteraceae	Eupatorium cannabinum L.	HR	44.943462	14.411737	2752	2017-08-18T22:36Z	18	8	2017
1621778521	Plantae	Apiaceae	Foeniculum vulgare Mill.	HR	44.957676	14.400492		2017-08-18T20:53Z	18	8	2017
