gbifid	kingdom	family	scientificname	countrycode	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	eventdate	day	month	year
1579761910	Plantae	Sapindaceae	Acer hyrcanum Fisch. & C. A. Mey.	HR	45.078732	14.1364	250	2017-05-24T02:00Z	24	5	2017
1579760519	Plantae	Sapindaceae	Acer hyrcanum Fisch. & C. A. Mey.	HR	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1579760993	Plantae	Sapindaceae	Acer L.	HR	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1579762415	Plantae	Sapindaceae	Acer monspessulanum L.	HR	45.066006	14.140863	250	2017-05-17T02:00Z	17	5	2017
1579757771	Animalia	Acrocephalidae	Acrocephalus arundinaceus (Linnaeus, 1758)	HR	44.514317	14.917942	250	2017-05-29T02:00Z	29	5	2017
1579757822	Animalia	Acrocephalidae	Acrocephalus scirpaceus (Hermann, 1804)	HR	44.361046	15.151219	250	2017-05-30T02:00Z	30	5	2017
1579759938	Animalia	Noctuidae	Acronicta aceris Linnaeus, 1758	HR	45.405193	14.799158	250	2017-06-10T02:00Z	10	6	2017
1586067841	Animalia	Scolopacidae	Actitis hypoleucos (Linnaeus, 1758)	HR	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1579764927	Plantae	Pteridaceae	Adiantum capillus-veneris L.	HR	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1579764948	Plantae	Ranunculaceae	Adonis annua L.	HR	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1579764998	Animalia	Zygaenidae	Adscita Retzius, 1783	HR	43.284321	17.09173	250	2017-06-12T02:00Z	12	6	2017
1579769473	Animalia	Noctuidae	Aedia funesta Esper, 1786	HR	45.405193	14.799158	250	2017-06-13T02:00Z	13	6	2017
1579767052	Animalia	Noctuidae	Aedia funesta Esper, 1786	HR	45.405193	14.799158	250	2017-06-10T02:00Z	10	6	2017
1579768212	Plantae	Poaceae	Aegilops neglecta Req. ex Bertol.	HR	45.078732	14.1364	250	2017-05-24T02:00Z	24	5	2017
1579767720	Plantae	Boraginaceae	Aegonychon purpurocaeruleum (L.) J. Holub	HR	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1579767409	Plantae	Sapindaceae	Aesculus carnea Hayne	HR	45.087612	13.878181	250	2017-05-22T02:00Z	22	5	2017
1586115861	Animalia	Aeshnidae	Aeshna affinis Vander Linden, 1820	HR	45.025553	13.701947	29	2017-07-04T11:58Z	4	7	2017
1579773299	Plantae	Asparagaceae	Agave attenuata Salm-Dyck	HR	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1579773268		Plantae	Asparagaceae	Agave L.	HR	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
