gbifid	kingdom	family	scientificname	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	eventdate	day	month	year
1621805398	Plantae	Fagaceae	Quercus cerris L.	45.120942	14.34662		2017-08-20T13:26Z	20	8	2017
1621802565	Plantae	Oleaceae	Phillyrea latifolia L.	44.972328	14.396572		2017-08-22T11:39Z	22	8	2017
1621802526	Plantae	Ericaceae	Arbutus unedo L.	44.631618	14.52943		2017-08-21T17:19Z	21	8	2017
1621802520	Plantae	Euphorbiaceae	Euphorbia paralias L.	44.629761	14.530637		2017-08-21T20:04Z	21	8	2017
1621802505	Plantae	Plantaginaceae	Linaria vulgaris Mill.	44.94569	14.41733		2017-08-22T18:34Z	22	8	2017
1621802492	Plantae	Cupressaceae	Cupressus sempervirens L.	44.983253	14.386278		2017-08-22T12:28Z	22	8	2017
1621802426	Plantae	Vitaceae	Parthenocissus quinquefolia (L.) Planchon	44.94614	14.41712		2017-08-22T18:31Z	22	8	2017
1621794225	Animalia	Sciuridae	Sciurus vulgaris Linnaeus, 1758	43.322609	16.984155	86	2017-08-22T11:18Z	22	8	2017
1621790776	Plantae	Aspleniaceae	Asplenium ceterach L.	45.126099	14.351871		2017-08-20T14:46Z	20	8	2017
1621790698	Plantae	Cornaceae	Cornus mas L.	45.119629	14.346973		2017-08-20T13:22Z	20	8	2017
1621790693	Plantae	Phytolaccaceae	Phytolacca americana L.	45.10708	14.356741	688	2017-08-20T19:07Z	20	8	2017
1621790673	Plantae	Cornaceae	Cornus sanguinea L.	45.122314	14.347551		2017-08-20T13:45Z	20	8	2017
1621790625	Plantae	Dennstaedtiaceae	Pteridium aquilinum (L.) Kuhn	45.122326	14.34698		2017-08-20T13:36Z	20	8	2017
1621790619	Plantae	Rosaceae	Prunus spinosa L.	45.114532	14.353574		2017-08-20T15:22Z	20	8	2017
1621790591	Plantae	Fagaceae	Castanea sativa Mill.	45.122849	14.353349		2017-08-20T14:58Z	20	8	2017
1621790565	Plantae	Oleaceae	Olea europaea L.	45.116681	14.349316	344	2017-08-20T15:12Z	20	8	2017
1621790542	Plantae	Lythraceae	Punica granatum L.	45.114189	14.353825		2017-08-20T15:23Z	20	8	2017
1621781722	Plantae	Anacardiaceae	Pistacia lentiscus L.	44.523682	14.490514		2017-08-19T16:48Z	19	8	2017
1621781671	Plantae	Anacardiaceae	Pistacia terebinthus L.	44.524387	14.489665		2017-08-19T16:52Z	19	8	2017
1621778953	Plantae	Asteraceae	Centaurea calcitrapa L.	44.943836	14.413918		2017-08-18T21:10Z	18	8	2017
1621778581	Plantae	Lauraceae	Laurus nobilis L.	44.946019	14.417503	2752	2017-08-18T22:39Z	18	8	2017
1621778521	Plantae	Apiaceae	Foeniculum vulgare Mill.	44.957676	14.400492		2017-08-18T20:53Z	18	8	2017
1621778489	Plantae	Asteraceae	Limbarda crithmoides (L.) Dumort.	44.955823	14.415335	19	2017-08-18T22:44Z	18	8	2017
1621778470	Plantae	Betulaceae	Alnus glutinosa (L.) Gaertn.	44.944387	14.414014	2752	2017-08-18T22:38Z	18	8	2017
1621778393	Plantae	Asteraceae	Eupatorium cannabinum L.	44.943462	14.411737	2752	2017-08-18T22:36Z	18	8	2017
1621774058	Animalia	Lycaenidae	Aricia agestis (Denis & Schiffermüller, 1775)	44.234722	15.173333		2017-07-02T21:08Z	2	7	2017
1621774054	Animalia	Nymphalidae	Pyronia cecilia Vallantin, 1894	44.233611	15.170833		2017-07-02T20:33Z	2	7	2017
1621774053	Animalia	Lycaenidae	Polyommatus icarus (Rottemburg, 1775)	44.233611	15.171667		2017-07-02T20:41Z	2	7	2017
1621774052	Animalia	Theridiidae	Latrodectus tredecimguttatus (Rossi, 1790)	44.213611	15.165		2017-07-03T20:45Z	3	7	2017
1621774051	Animalia	Lycaenidae	Aricia agestis (Denis & Schiffermüller, 1775)	44.234444	15.173056		2017-07-02T21:07Z	2	7	2017
1621773802	Animalia	Lycaenidae	Cacyreus marshalli Butler, 1897	43.562282	16.366925	24	2017-07-05T02:00Z	5	7	2017
1621773563	Animalia	Nymphalidae	Lasiommata megera (Linnaeus, 1767) Linnaeus, 1767	43.554821	16.388297	48	2017-07-01T02:00Z	1	7	2017
1621773562	Animalia	Nymphalidae	Melanargia galathea Linnaeus, 1758	43.554821	16.388297	48	2017-07-01T02:00Z	1	7	2017
1621773560	Animalia	Nymphalidae	Coenonympha pamphilus Linnaeus, 1758	43.554821	16.388297	48	2017-07-01T02:00Z	1	7	2017
1621773559	Animalia	Pieridae	Pieris rapae (Linnaeus, 1758)	43.550497	16.387364	12	2017-05-29T02:00Z	29	5	2017
1621773278	Plantae	Asteraceae	Erigeron L.	45.987431	15.735055	10	2017-06-24T13:09Z	24	6	2017
1586977371	Animalia	Turdidae	Turdus merula Linnaeus, 1758	45.080399	14.144146	250	2017-05-19T02:00Z	19	5	2017
1586977030	Animalia	Delphinidae	Tursiops truncatus (Montagu, 1821)	43.22979	17.087307	25	2017-06-05T02:00Z	5	6	2017
1586976067	Animalia	Scolopacidae	Tringa ochropus Linnaeus, 1758	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586955192	Animalia	Sciuridae	Sciurus vulgaris Linnaeus, 1758	43.322291	16.984528	344	2017-08-18T11:55Z	18	8	2017
